time	-I(Ls1)	-I(Ls2)
4.523107199787325e-010	7.166962e-003	-8.047285e-003
4.533107199787325e-010	7.316347e-003	-8.205670e-003
4.543107199787325e-010	7.470713e-003	-8.353818e-003
4.553107199787325e-010	7.629778e-003	-8.491587e-003
4.563107199787325e-010	7.793264e-003	-8.618850e-003
4.573107199787325e-010	7.960895e-003	-8.735499e-003
4.583107199787325e-010	8.132396e-003	-8.841442e-003
4.593107199787325e-010	8.307496e-003	-8.936604e-003
4.603107199787325e-010	8.485926e-003	-9.020926e-003
4.613107199787325e-010	8.667421e-003	-9.094370e-003
4.623107199787325e-010	8.851718e-003	-9.156907e-003
4.633107199787325e-010	9.038558e-003	-9.208533e-003
4.643107199787325e-010	9.227686e-003	-9.249255e-003
4.653107199787325e-010	9.418847e-003	-9.279098e-003
4.663107199787325e-010	9.611793e-003	-9.298101e-003
4.673107199787325e-010	9.806277e-003	-9.306323e-003
4.683107199787325e-010	1.000206e-002	-9.303832e-003
4.693107199787325e-010	1.019890e-002	-9.290718e-003
4.703107199787325e-010	1.039657e-002	-9.267082e-003
4.713107199787325e-010	1.059483e-002	-9.233039e-003
4.723107199787325e-010	1.079347e-002	-9.188719e-003
4.733107199787325e-010	1.099225e-002	-9.134267e-003
4.753107199787325e-010	1.138940e-002	-8.995605e-003
4.773107199787324e-010	1.178461e-002	-8.818461e-003
4.803107199787324e-010	1.237027e-002	-8.484138e-003
4.833107199787324e-010	1.294288e-002	-8.072998e-003
4.863107199787324e-010	1.349774e-002	-7.591937e-003
4.893107199787324e-010	1.403058e-002	-7.048494e-003
4.923107199787324e-010	1.453757e-002	-6.450716e-003
4.953107199787324e-010	1.501529e-002	-5.807025e-003
4.983107199787324e-010	1.546073e-002	-5.126077e-003
5.013107199787324e-010	1.587132e-002	-4.416634e-003
5.043107199787324e-010	1.624487e-002	-3.687432e-003
5.073107199787323e-010	1.657959e-002	-2.947056e-003
5.085964342644466e-010	1.671094e-002	-2.626916e-003
5.098821485501609e-010	1.683463e-002	-2.308397e-003
5.111678628358752e-010	1.695066e-002	-1.991499e-003
5.124535771215895e-010	1.705902e-002	-1.676223e-003
5.137392914073038e-010	1.715971e-002	-1.362568e-003
5.150250056930180e-010	1.725274e-002	-1.050535e-003
5.163107199787323e-010	1.733810e-002	-7.401226e-004
5.173107199787323e-010	1.739898e-002	-5.022728e-004
5.183107199787323e-010	1.745511e-002	-2.668346e-004
5.193107199787323e-010	1.750649e-002	-3.404114e-005
5.203107199787323e-010	1.755311e-002	1.958828e-004
5.213107199787323e-010	1.759497e-002	4.227209e-004
5.223107199787323e-010	1.763208e-002	6.462657e-004
5.243107199787323e-010	1.769203e-002	1.082691e-003
5.263107199787323e-010	1.773303e-002	1.503682e-003
5.283107199787323e-010	1.775517e-002	1.907911e-003
5.303107199787323e-010	1.775858e-002	2.294210e-003
5.323107199787323e-010	1.774342e-002	2.661563e-003
5.353107199787322e-010	1.768627e-002	3.175244e-003
5.383107199787322e-010	1.758846e-002	3.642198e-003
5.403107199787322e-010	1.750104e-002	3.926808e-003
5.423107199787322e-010	1.739615e-002	4.189774e-003
5.443107199787322e-010	1.727338e-002	4.430016e-003
5.463107199787322e-010	1.713430e-002	4.649489e-003
5.483107199787322e-010	1.697891e-002	4.848193e-003
5.503107199787322e-010	1.680720e-002	5.026129e-003
5.523107199787322e-010	1.661918e-002	5.183296e-003
5.543107199787322e-010	1.641484e-002	5.319695e-003
5.563107199787322e-010	1.619419e-002	5.435324e-003
5.593107199787322e-010	1.583530e-002	5.576080e-003
5.613107199787322e-010	1.557713e-002	5.648160e-003
5.633107199787322e-010	1.530409e-002	5.703987e-003
5.643107199787321e-010	1.516205e-002	5.726134e-003
5.653107199787321e-010	1.501638e-002	5.744621e-003
5.663107199787321e-010	1.486708e-002	5.759588e-003
5.673107199787321e-010	1.471419e-002	5.771179e-003
5.683107199787321e-010	1.455773e-002	5.779542e-003
5.693107199787321e-010	1.439772e-002	5.784825e-003
5.703107199787321e-010	1.423418e-002	5.787179e-003
5.713107199787321e-010	1.406714e-002	5.786756e-003
5.723107199787321e-010	1.389660e-002	5.783709e-003
5.733107199787321e-010	1.372260e-002	5.778192e-003
5.743107199787321e-010	1.354516e-002	5.770362e-003
5.753107199787321e-010	1.336428e-002	5.760371e-003
5.763107199787321e-010	1.317999e-002	5.748377e-003
5.773107199787321e-010	1.299230e-002	5.734534e-003
5.783107199787321e-010	1.280124e-002	5.718995e-003
5.793107199787321e-010	1.260682e-002	5.701914e-003
5.803107199787321e-010	1.240906e-002	5.683444e-003
5.813107199787321e-010	1.220796e-002	5.663735e-003
5.823107199787321e-010	1.200356e-002	5.642935e-003
5.833107199787321e-010	1.179586e-002	5.621192e-003
5.843107199787321e-010	1.158488e-002	5.598649e-003
5.853107199787321e-010	1.137063e-002	5.575450e-003
5.863107199787321e-010	1.115314e-002	5.551733e-003
5.873107199787321e-010	1.093241e-002	5.527634e-003
5.883107199787321e-010	1.070847e-002	5.503288e-003
5.893107199787321e-010	1.048132e-002	5.478822e-003
5.903107199787321e-010	1.025100e-002	5.454364e-003
5.913107199787321e-010	1.001750e-002	5.430034e-003
5.923107199787321e-010	9.780856e-003	5.405953e-003
5.933107199787320e-010	9.541079e-003	5.382233e-003
5.943107199787320e-010	9.298191e-003	5.358984e-003
5.953107199787320e-010	9.052210e-003	5.336311e-003
5.963107199787320e-010	8.803155e-003	5.314314e-003
5.973107199787320e-010	8.551051e-003	5.293089e-003
5.983107199787320e-010	8.295919e-003	5.272727e-003
5.993107199787320e-010	8.037783e-003	5.253313e-003
6.003107199787320e-010	7.776668e-003	5.234927e-003
6.013107199787320e-010	7.512602e-003	5.217645e-003
6.023107199787320e-010	7.245612e-003	5.201536e-003
6.033107199787320e-010	6.975730e-003	5.186665e-003
6.043107199787320e-010	6.702988e-003	5.173091e-003
6.053107199787320e-010	6.427420e-003	5.160867e-003
6.063107199787320e-010	6.149063e-003	5.150041e-003
6.073107199787320e-010	5.867958e-003	5.140654e-003
6.083107199787320e-010	5.584146e-003	5.132743e-003
6.093107199787320e-010	5.297673e-003	5.126339e-003
6.103107199787320e-010	5.008588e-003	5.121468e-003
6.113107199787320e-010	4.716943e-003	5.118147e-003
6.123107199787320e-010	4.422797e-003	5.116392e-003
