time	V(VCj1a,VCj2b)	V(VCj2a,VCj2b)
4.483107199787325e-010	3.304184e-001	-1.144426e-001
4.493107199787325e-010	3.309325e-001	-1.427431e-001
4.503107199787325e-010	3.314649e-001	-1.717953e-001
4.513107199787325e-010	3.320141e-001	-2.015624e-001
4.523107199787325e-010	3.325778e-001	-2.320070e-001
4.533107199787325e-010	3.331540e-001	-2.630908e-001
4.543107199787325e-010	3.337404e-001	-2.947749e-001
4.553107199787325e-010	3.343351e-001	-3.270199e-001
4.563107199787325e-010	3.349360e-001	-3.597858e-001
4.573107199787325e-010	3.355414e-001	-3.930320e-001
4.583107199787325e-010	3.361496e-001	-4.267176e-001
4.593107199787325e-010	3.367592e-001	-4.608014e-001
4.603107199787325e-010	3.373686e-001	-4.952419e-001
4.613107199787325e-010	3.379767e-001	-5.299974e-001
4.623107199787325e-010	3.385823e-001	-5.650260e-001
4.633107199787325e-010	3.391844e-001	-6.002858e-001
4.643107199787325e-010	3.397820e-001	-6.357347e-001
4.653107199787325e-010	3.403743e-001	-6.713309e-001
4.663107199787325e-010	3.409606e-001	-7.070327e-001
4.673107199787325e-010	3.415402e-001	-7.427983e-001
4.683107199787325e-010	3.421124e-001	-7.785864e-001
4.693107199787325e-010	3.426768e-001	-8.143558e-001
4.703107199787325e-010	3.432330e-001	-8.500658e-001
4.713107199787325e-010	3.437804e-001	-8.856759e-001
4.723107199787325e-010	3.443189e-001	-9.211464e-001
4.733107199787325e-010	3.448480e-001	-9.564377e-001
4.753107199787325e-010	3.458772e-001	-1.026328e+000
4.773107199787324e-010	3.468666e-001	-1.095045e+000
4.803107199787324e-010	3.482736e-001	-1.195283e+000
4.833107199787324e-010	3.495862e-001	-1.291298e+000
4.863107199787324e-010	3.508042e-001	-1.382235e+000
4.893107199787324e-010	3.519280e-001	-1.467321e+000
4.923107199787324e-010	3.529588e-001	-1.545875e+000
4.953107199787324e-010	3.538984e-001	-1.617309e+000
4.983107199787324e-010	3.547489e-001	-1.681134e+000
5.013107199787324e-010	3.555126e-001	-1.736962e+000
5.043107199787324e-010	3.561918e-001	-1.784504e+000
5.073107199787323e-010	3.567889e-001	-1.823573e+000
5.085964342644466e-010	3.570198e-001	-1.837682e+000
5.098821485501609e-010	3.572367e-001	-1.850228e+000
5.111678628358752e-010	3.574396e-001	-1.861212e+000
5.124535771215895e-010	3.576285e-001	-1.870632e+000
5.137392914073038e-010	3.578034e-001	-1.878489e+000
5.150250056930180e-010	3.579642e-001	-1.884783e+000
5.163107199787323e-010	3.581110e-001	-1.889514e+000
5.173107199787323e-010	3.582162e-001	-1.892157e+000
5.183107199787323e-010	3.583133e-001	-1.893888e+000
5.193107199787323e-010	3.584024e-001	-1.894715e+000
