time	V(vcj2b)
1.107310719978748e-009	4.547736e-001
1.110310719978749e-009	5.110347e-001
1.113310719978749e-009	5.670183e-001
1.116310719978749e-009	6.221790e-001
1.119310719978750e-009	6.759974e-001
1.120739291407321e-009	7.011228e-001
1.122167862835893e-009	7.256686e-001
1.123596434264464e-009	7.496348e-001
1.125025005693036e-009	7.730216e-001
1.126453577121608e-009	7.958287e-001
1.127882148550179e-009	8.180564e-001
1.129310719978751e-009	8.397045e-001
1.130310719978751e-009	8.543554e-001
1.131310719978751e-009	8.686402e-001
1.132310719978751e-009	8.825474e-001
1.133310719978751e-009	8.960660e-001
1.134310719978751e-009	9.091855e-001
1.136310719978751e-009	9.341887e-001
1.138310719978752e-009	9.574853e-001
1.140310719978752e-009	9.790127e-001
1.142310719978752e-009	9.987181e-001
1.143310719978752e-009	1.007873e+000
1.145310719978752e-009	1.024766e+000
1.148310719978753e-009	1.046510e+000
1.151310719978753e-009	1.063883e+000
1.152310719978753e-009	1.068698e+000
1.154310719978753e-009	1.076865e+000
1.156310719978753e-009	1.083008e+000
1.158310719978754e-009	1.087297e+000
1.160310719978754e-009	1.089732e+000
1.162310719978754e-009	1.090312e+000
1.164310719978754e-009	1.089039e+000
1.166310719978754e-009	1.085911e+000
1.168310719978755e-009	1.080929e+000
1.171310719978755e-009	1.070416e+000
1.173310719978755e-009	1.061368e+000
1.175310719978755e-009	1.050758e+000
1.177310719978755e-009	1.038650e+000
1.178310719978756e-009	1.032054e+000
1.179310719978756e-009	1.025108e+000
