time	V(N001,VCj2b)	V(N002,VCj2b)
4.753107199787325e-010	4.022239e-001	-1.057540e+000
4.773107199787324e-010	4.051998e-001	-1.125662e+000
4.803107199787324e-010	4.095541e-001	-1.224769e+000
4.833107199787324e-010	4.137524e-001	-1.319384e+000
4.863107199787324e-010	4.177702e-001	-1.408677e+000
4.893107199787324e-010	4.215864e-001	-1.491901e+000
4.923107199787324e-010	4.251825e-001	-1.568402e+000
4.953107199787324e-010	4.285431e-001	-1.637622e+000
4.983107199787324e-010	4.316548e-001	-1.699100e+000
5.013107199787324e-010	4.345067e-001	-1.752480e+000
5.043107199787324e-010	4.370900e-001	-1.797503e+000
5.073107199787323e-010	4.393977e-001	-1.834011e+000
5.085964342644466e-010	4.403015e-001	-1.847013e+000
5.098821485501609e-010	4.411530e-001	-1.858456e+000
5.111678628358752e-010	4.419523e-001	-1.868342e+000
5.124535771215895e-010	4.426992e-001	-1.876670e+000
5.137392914073038e-010	4.433938e-001	-1.883440e+000
5.150250056930180e-010	4.440362e-001	-1.888652e+000
5.163107199787323e-010	4.446262e-001	-1.892306e+000
5.173107199787323e-010	4.450485e-001	-1.894123e+000
5.183107199787323e-010	4.454390e-001	-1.895036e+000
5.193107199787323e-010	4.457976e-001	-1.895055e+000
5.203107199787323e-010	4.461247e-001	-1.894191e+000
5.213107199787323e-010	4.464200e-001	-1.892455e+000
5.223107199787323e-010	4.466837e-001	-1.889862e+000
5.243107199787323e-010	4.471165e-001	-1.882154e+000
5.263107199787323e-010	4.474239e-001	-1.871184e+000
5.283107199787323e-010	4.476066e-001	-1.857079e+000
5.303107199787323e-010	4.476657e-001	-1.839976e+000
5.323107199787323e-010	4.476023e-001	-1.820019e+000
5.353107199787322e-010	4.472797e-001	-1.785064e+000
5.383107199787322e-010	4.466882e-001	-1.744562e+000
5.403107199787322e-010	4.461466e-001	-1.714750e+000
5.423107199787322e-010	4.454885e-001	-1.682885e+000
5.443107199787322e-010	4.447127e-001	-1.648730e+000
5.463107199787322e-010	4.438255e-001	-1.613259e+000
5.483107199787322e-010	4.428267e-001	-1.576473e+000
5.503107199787322e-010	4.417165e-001	-1.538371e+000
5.523107199787322e-010	4.404947e-001	-1.498953e+000
5.543107199787322e-010	4.391613e-001	-1.458219e+000
5.563107199787322e-010	4.377165e-001	-1.416170e+000
5.593107199787322e-010	4.353483e-001	-1.352261e+000
5.613107199787322e-010	4.336338e-001	-1.308904e+000
5.633107199787322e-010	4.318109e-001	-1.265095e+000
5.643107199787321e-010	4.308587e-001	-1.243058e+000
5.653107199787321e-010	4.298794e-001	-1.220952e+000
5.663107199787321e-010	4.288729e-001	-1.198790e+000
5.673107199787321e-010	4.278392e-001	-1.176586e+000
5.683107199787321e-010	4.267780e-001	-1.154350e+000
5.693107199787321e-010	4.256892e-001	-1.132096e+000
5.703107199787321e-010	4.245729e-001	-1.109835e+000
5.713107199787321e-010	4.234290e-001	-1.087576e+000
5.723107199787321e-010	4.222571e-001	-1.065331e+000
5.733107199787321e-010	4.210570e-001	-1.043108e+000
5.743107199787321e-010	4.198288e-001	-1.020916e+000
5.753107199787321e-010	4.185721e-001	-9.987637e-001
5.763107199787321e-010	4.172865e-001	-9.766588e-001
5.773107199787321e-010	4.159721e-001	-9.546080e-001
5.783107199787321e-010	4.146283e-001	-9.326180e-001
5.793107199787321e-010	4.132550e-001	-9.106944e-001
5.803107199787321e-010	4.118516e-001	-8.888427e-001
5.813107199787321e-010	4.104180e-001	-8.670674e-001
5.823107199787321e-010	4.089537e-001	-8.453728e-001
5.833107199787321e-010	4.074582e-001	-8.237623e-001
5.843107199787321e-010	4.059311e-001	-8.022390e-001
5.853107199787321e-010	4.043717e-001	-7.808053e-001
5.863107199787321e-010	4.027796e-001	-7.594632e-001
5.873107199787321e-010	4.011543e-001	-7.382141e-001
5.883107199787321e-010	3.994950e-001	-7.170588e-001
5.893107199787321e-010	3.978009e-001	-6.959978e-001
5.903107199787321e-010	3.960716e-001	-6.750308e-001
5.913107199787321e-010	3.943059e-001	-6.541575e-001
5.923107199787321e-010	3.925030e-001	-6.333768e-001
5.933107199787320e-010	3.906623e-001	-6.126872e-001
5.943107199787320e-010	3.887823e-001	-5.920868e-001
5.953107199787320e-010	3.868620e-001	-5.715735e-001
5.963107199787320e-010	3.849005e-001	-5.511445e-001
5.973107199787320e-010	3.828959e-001	-5.307968e-001
5.983107199787320e-010	3.808472e-001	-5.105272e-001
5.993107199787320e-010	3.787527e-001	-4.903318e-001
6.003107199787320e-010	3.766106e-001	-4.702067e-001
6.013107199787320e-010	3.744192e-001	-4.501475e-001
6.023107199787320e-010	3.721762e-001	-4.301498e-001
6.033107199787320e-010	3.698795e-001	-4.102087e-001
6.043107199787320e-010	3.675264e-001	-3.903194e-001
6.053107199787320e-010	3.651142e-001	-3.704764e-001
6.063107199787320e-010	3.626398e-001	-3.506744e-001
6.073107199787320e-010	3.600999e-001	-3.309079e-001
6.083107199787320e-010	3.574906e-001	-3.111711e-001
6.093107199787320e-010	3.548076e-001	-2.914582e-001
6.103107199787320e-010	3.520462e-001	-2.717634e-001
6.113107199787320e-010	3.492010e-001	-2.520806e-001
6.123107199787320e-010	3.462660e-001	-2.324039e-001
6.133107199787320e-010	3.432344e-001	-2.127271e-001
6.143107199787320e-010	3.400983e-001	-1.930442e-001
6.153107199787320e-010	3.368490e-001	-1.733491e-001
6.163107199787320e-010	3.334765e-001	-1.536360e-001
6.173107199787320e-010	3.299692e-001	-1.338987e-001
6.183107199787320e-010	3.263139e-001	-1.141315e-001
6.193107199787320e-010	3.224956e-001	-9.432852e-002
6.203107199787320e-010	3.184968e-001	-7.448420e-002
6.213107199787320e-010	3.142972e-001	-5.459300e-002
6.223107199787319e-010	3.098738e-001	-3.464964e-002
6.233107199787319e-010	3.051995e-001	-1.464903e-002
6.243107199787319e-010	3.002434e-001	5.413771e-003
6.253107199787319e-010	2.949699e-001	2.554345e-002
6.263107199787319e-010	2.893383e-001	4.574424e-002
6.273107199787319e-010	2.833022e-001	6.602025e-002
6.283107199787319e-010	2.768094e-001	8.637491e-002
6.293107199787319e-010	2.698021e-001	1.068110e-001
6.303107199787319e-010	2.622168e-001	1.273304e-001
6.313107199787319e-010	2.539861e-001	1.479328e-001
6.323107199787319e-010	2.450394e-001	1.686141e-001
6.333107199787319e-010	2.353060e-001	1.893633e-001
6.343107199787319e-010	2.247173e-001	2.101540e-001
6.353107199787319e-010	2.132072e-001	2.309198e-001
6.363107199787319e-010	2.007133e-001	2.515069e-001
6.373107199787319e-010	1.871901e-001	2.716311e-001
6.383107199787319e-010	1.726156e-001	2.908208e-001
6.393107199787319e-010	1.569778e-001	3.083603e-001
6.403107199787319e-010	1.402683e-001	3.233820e-001
6.413107199787319e-010	1.224872e-001	3.351887e-001
